{'axis': 'X', 'long_name': '', 'standard_name': 'longitude', 'units': 'degrees_east'}
-124.9806900024414
{'axis': 'Y', 'long_name': '', 'standard_name': 'latitude', 'units': 'degrees_north'}
-2.4981038570404053
start time: 2023-11-15T20:50:20.000000000
end time: 2023-11-15T23:30:40.000000000
'pressure [hPa]','temperature [degC]', 'salinity [g kg-1]'
282.2000,2.6400,34.7093
281.2000,2.6432,34.7118
280.2000,2.6401,34.7121
279.2000,2.6468,34.7114
278.2000,2.6529,34.7111
277.2000,2.6769,34.7109
276.2000,2.7057,34.7124
275.2000,2.7286,34.7148
274.2000,2.7410,34.7138
273.2000,2.7650,34.7150
272.2000,2.7634,34.7146
271.2000,2.7821,34.7145
270.2000,2.7592,34.7156
269.2000,2.7906,34.7191
268.2000,2.8117,34.7206
267.2000,2.8313,34.7193
266.2000,2.8529,34.7185
265.2000,2.8794,34.7197
264.2000,2.8897,34.7223
263.2000,2.8711,34.7204
262.2000,2.8478,34.7214
261.2000,2.8765,34.7215
260.2000,2.8785,34.7220
259.2000,2.8888,34.7207
258.2000,2.9139,34.7190
257.2000,2.9178,34.7171
256.2000,2.8999,34.7156
255.2000,2.8926,34.7149
254.2000,2.9013,34.7144
253.2000,2.9142,34.7163
252.2000,2.9197,34.7148
251.2000,2.9139,34.7123
250.2000,2.9188,34.7120
249.2000,2.9386,34.7110
248.2000,2.9757,34.7100
247.2000,2.9973,34.7069
246.2000,3.0372,34.7072
245.2000,3.0543,34.7071
244.2000,3.0942,34.7084
243.2000,3.1196,34.7099
242.2000,3.1084,34.7086
241.2000,3.1422,34.7093
240.2000,3.1839,34.7077
239.2000,3.2314,34.7101
238.2000,3.2368,34.7096
237.2000,3.2042,34.7072
236.2000,3.2096,34.7088
235.2000,3.2183,34.7103
234.2000,3.2028,34.7138
233.2000,3.2266,34.7162
232.2000,3.2674,34.7148
231.2000,3.2815,34.7152
230.2000,3.2840,34.7156
229.2000,3.3161,34.7134
228.2000,3.3299,34.7161
227.2000,3.3737,34.7157
226.2000,3.3821,34.7158
225.2000,3.3975,34.7143
224.2000,3.4222,34.7156
223.2000,3.4281,34.7168
222.2000,3.4368,34.7155
221.2000,3.4380,34.7131
220.2000,3.4470,34.7102
219.2000,3.4740,34.7096
218.2000,3.4946,34.7127
217.2000,3.5167,34.7120
216.2000,3.4869,34.7118
215.2000,3.4936,34.7126
214.2000,3.5200,34.7109
213.2000,3.5007,34.7109
212.2000,3.5119,34.7109
211.2000,3.5116,34.7081
210.2000,3.5213,34.7071
209.2000,3.5255,34.7032
208.2000,3.5674,34.7044
207.2000,3.5636,34.7064
206.2000,3.6194,34.7061
205.2000,3.6312,34.7081
204.2000,3.6291,34.7056
203.2000,3.6138,34.7059
202.2000,3.6349,34.7058
201.2000,3.6399,34.7069
200.2000,3.6479,34.7061
199.2000,3.6712,34.7063
198.2000,3.6897,34.7089
197.2000,3.6763,34.7103
196.2000,3.7006,34.7100
195.2000,3.6958,34.7110
194.2000,3.7148,34.7090
193.2000,3.7432,34.7087
192.2000,3.7550,34.7101
191.2000,3.7370,34.7065
190.2000,3.7638,34.7069
189.2000,3.7769,34.7094
188.2000,3.8008,34.7075
187.2000,3.8454,34.7088
186.2000,3.8953,34.7057
